name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,loan_approved_label
Robin Thompson,Pollardfort,142866,486,9837,4,50.0,False,Rejected
Terri Johnson,North Kylie,44371,342,21682,19,25.0,False,Rejected
Virginia Daniels,Benjaminborough,50033,592,24394,3,40.0,False,Rejected
Evelyn Martinez,Samuelfurt,112240,750,26339,21,90.0,True,Approved
Kathleen Jimenez,Lauriechester,50969,380,29220,38,35.0,False,Rejected
Catherine Carter MD,Donnaport,133819,756,40493,27,85.0,True,Approved
Jeremy West,Christinachester,119192,581,42908,3,55.0,False,Rejected
Mark Cox,North Douglas,85333,748,3280,8,85.0,True,Approved
Richard Diaz,Herrington,108172,457,45503,28,45.0,False,Rejected
Jacqueline Hines,New Michael,38326,621,43569,17,40.0,False,Rejected
Brian Fitzgerald,Holmesside,80432,420,18155,16,50.0,False,Rejected
Cindy Carr,Gonzalezberg,80019,375,30625,11,45.0,False,Rejected
Jill Miller,Elizabethland,108104,597,20657,10,70.0,True,Approved
Tammy Little,Williamville,91348,505,10101,15,50.0,False,Rejected
Allison Spencer,Tannerside,99352,432,41104,5,35.0,False,Rejected
James Love,Foxchester,62953,375,9213,20,45.0,False,Rejected
Joanna Frazier,Davidside,102512,486,9456,27,60.0,True,Approved
Sheena Guerra,West Fred,142824,630,47486,14,65.0,True,Approved
Todd Jacobson,West Jamesside,31504,581,9203,40,45.0,False,Rejected
Joseph Shaw,New Shelly,119166,457,12219,39,55.0,False,Rejected
Lisa Kirby,Port Michelleland,124466,346,43038,36,50.0,False,Rejected
Daniel Armstrong,South Pamelaside,45014,596,43068,19,40.0,False,Rejected
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75.0,True,Approved
Lawrence Edwards,Jessicastad,145970,708,9569,23,85.0,True,Approved
Ashley Allen,West Shannonberg,100381,399,4316,18,60.0,True,Approved
Sharon Barnes,Port Mark,128419,620,13440,10,70.0,True,Approved
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35.0,False,Rejected
Douglas Harper,Mitchelltown,130741,410,29241,8,50.0,False,Rejected
Monica Gallagher,Brandonton,114012,499,24758,35,55.0,False,Rejected
James Cole,Marciaville,74587,431,7336,25,50.0,False,Rejected
William Grant,Kariborough,44621,821,27305,32,65.0,True,Approved
Andrew Reeves,Stoneberg,68469,827,10160,20,85.0,True,Approved
Emily Long,Brittneyhaven,86985,821,35887,31,80.0,True,Approved
Elizabeth Cabrera,Markville,50730,726,39253,19,60.0,True,Approved
Molly Watts,New Thomasshire,89470,533,48277,3,30.0,False,Rejected
Carolyn Fuller,Hernandezbury,30425,332,38523,7,20.0,False,Rejected
Jeremy Barnes,Vaughnchester,124646,813,41073,30,90.0,True,Approved
Nancy Brown,New Jared,144799,632,44399,30,65.0,True,Approved
Emily Thompson,Amyview,124329,795,13600,15,90.0,True,Approved
Edwin David,Kellieborough,64522,800,21777,30,80.0,True,Approved
Timothy Pope,Keithshire,95612,688,26856,22,70.0,True,Approved
Regina Roberts,Stephanieland,129871,654,29991,16,70.0,True,Approved
Cindy Clayton,Sarahview,53416,440,8158,39,45.0,False,Rejected
Cynthia Williams,Lake Jesse,96542,402,28086,21,45.0,False,Rejected
Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,75.0,True,Approved
Curtis Maynard,Justinton,43947,391,43749,36,25.0,False,Rejected
Parker Jefferson,East Robertburgh,144100,337,27017,31,55.0,False,Rejected
Paul Brennan,Nancytown,111959,605,38221,38,65.0,True,Approved
William Mitchell,Smallberg,69117,816,31672,17,75.0,True,Approved
Brian Martin,Wongburgh,140319,314,49274,21,50.0,False,Rejected
Laura Todd,New Melissa,113748,715,29029,32,75.0,True,Approved
James Davis,South Marcus,96540,554,1447,16,55.0,False,Rejected
Jeremy Adams,Kevinshire,109818,311,18141,23,55.0,False,Rejected
Amy Wilson,Erikhaven,56071,618,46238,7,45.0,False,Rejected
Teresa Richardson,East Susan,50032,789,11039,29,80.0,True,Approved
Lisa Perry,Toddborough,79009,553,45586,38,40.0,False,Rejected
Angela Griffin,Christianshire,129943,414,5047,35,60.0,True,Approved
Christina Herrera,West Melissa,51174,752,8617,13,80.0,True,Approved
Katherine Nolan,Stokesmouth,100697,435,34636,26,50.0,False,Rejected
Anthony Ford,Jenniferfurt,132056,560,1197,13,60.0,True,Approved
Amber Cooper,New Virginialand,99514,783,3079,18,90.0,True,Approved
Randy Cannon,Brooksfurt,30074,759,25739,24,60.0,True,Approved
Victor Baxter,Lake Michelle,108504,421,12696,34,55.0,False,Rejected
Cameron Irwin,Port Andrewport,72487,774,45138,34,70.0,True,Approved
James Hall,Reedview,94042,493,48515,7,35.0,False,Rejected
Matthew Mendez,East Jamieville,32552,334,30257,38,25.0,False,Rejected
Shelby Sanchez,South Scottside,44662,522,4699,8,30.0,False,Rejected
Donna Cabrera,Barbaramouth,77576,542,20776,9,40.0,False,Rejected
Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,100.0,True,Approved
Megan Floyd,Heatherchester,139008,452,20653,24,55.0,False,Rejected
Joshua Allen,West Meredith,135745,447,31344,3,45.0,False,Rejected
Tracy Grant,South John,70306,508,22644,5,35.0,False,Rejected
Sarah Davis,North Joseph,61385,340,5769,12,50.0,False,Rejected
Laurie Powers,South Jason,37592,640,20869,0,25.0,False,Rejected
Colton Figueroa,Rochaborough,61571,706,16684,35,65.0,True,Approved
Douglas Owens,Kylestad,145082,825,33589,29,95.0,True,Approved
William Harrison,Robinstad,104364,620,28127,2,55.0,False,Rejected
Connie Thomas,Angelashire,40322,727,20345,9,45.0,False,Rejected
David Hudson,South Andrea,41226,645,17864,31,40.0,False,Rejected
Maria Henry,Lake Laura,125932,473,10172,34,60.0,True,Approved
Thomas Weaver DDS,New Arthurland,93699,349,1418,26,55.0,False,Rejected
Mark Jones,North Jeffery,136957,766,25458,3,80.0,True,Approved
Mary Jensen,Hopkinstown,39071,306,35879,35,25.0,False,Rejected
Alan Bowen,Andrechester,129693,483,8013,6,55.0,False,Rejected
Daisy Harvey,Lisaview,99822,706,6178,23,80.0,True,Approved
Judy Sanchez,West Gabriella,130379,382,43843,2,40.0,False,Rejected
James Tran,Lake Albertburgh,46483,384,33758,27,25.0,False,Rejected
Erin Madden,New Samanthabury,46828,516,46369,36,25.0,False,Rejected
Anthony Jones,Rachelshire,116474,333,12754,20,55.0,False,Rejected
Daniel Thomas,Hickmanport,92296,466,37959,15,40.0,False,Rejected
Sarah Rhodes,Patrickberg,102063,380,33819,22,50.0,False,Rejected
Jeffrey Roberson,Cassiefurt,51643,634,2941,40,65.0,True,Approved
Willie Henry,Angelafurt,64741,742,13172,37,80.0,True,Approved
Angelica Montgomery,Lake Charles,99163,574,11107,24,50.0,False,Rejected
Madison Singh,Michaelland,144351,305,21202,28,55.0,False,Rejected
Derrick Anderson,South Shane,109507,824,27741,6,85.0,True,Approved
Hector Davis,Michelletown,85461,598,28119,24,60.0,True,Approved
Misty Hansen,New Adriana,57760,689,12108,8,65.0,True,Approved
Derrick Thomas,South Joshua,100686,606,32734,4,55.0,False,Rejected
Tony Le,Wheelerborough,128994,768,8010,8,90.0,True,Approved
Travis Cook,Brockmouth,125673,750,22937,27,90.0,True,Approved
Shannon Mccann,West Malik,120422,505,32392,20,50.0,False,Rejected
James Flores,Faulknerbury,56365,633,25645,17,50.0,False,Rejected
Jenna Wilson,New Wendy,123447,484,45676,35,50.0,False,Rejected
Nicholas Hahn,South Lauren,70857,370,27813,31,40.0,False,Rejected
Eric King,Lake Rodney,82296,686,5847,28,80.0,True,Approved
Karen Morales DDS,Stephensstad,118039,849,39916,40,90.0,True,Approved
Ashley Wright,Gabrielton,115180,709,22731,27,80.0,True,Approved
Brett Walker,South Neil,78944,774,45535,37,75.0,True,Approved
Brittany Cuevas,Garciachester,87422,387,8606,9,50.0,False,Rejected
Grant Mueller,Baileyville,147914,748,48316,28,85.0,True,Approved
Eric Patrick,North Melindaville,97839,468,49528,15,40.0,False,Rejected
Kristen Rivera,Mullenbury,89177,714,42271,11,65.0,True,Approved
Matthew Foster,South Brittany,45860,698,1291,13,65.0,True,Approved
Paul Stokes,New Cristianside,62493,491,24972,20,40.0,False,Rejected
Brian Lambert,Rosemouth,59451,697,41062,25,60.0,True,Approved
Hannah Bruce,Port Emily,38392,604,41270,37,40.0,False,Rejected
Cesar Wilson,Darylstad,74313,444,34477,24,35.0,False,Rejected
Chad Reyes,South Cynthia,32757,477,37366,10,25.0,False,Rejected
Charles Edwards MD,Port Michaeltown,107110,796,9947,12,95.0,True,Approved
Tracey Wagner,Ortizfort,102603,725,47539,28,70.0,True,Approved
Bradley Johnson DDS,Antoniobury,60161,850,19918,10,80.0,True,Approved
Krystal Barton,Dunnville,107128,416,18556,34,55.0,False,Rejected
Holly Carson,Port Jenniferside,58864,523,28862,6,30.0,False,Rejected
Martha Wright,South Joseland,30942,749,8693,15,65.0,True,Approved
Oscar Norris,Martinberg,39305,511,14562,3,20.0,False,Rejected
Kim Carlson,West Tiffany,122778,599,19961,36,70.0,True,Approved
Scott Duke,East Sydneychester,112719,360,19174,8,50.0,False,Rejected
Brandi Thomas,Mariafurt,37716,801,10317,36,70.0,True,Approved
Lori Brooks,Lake Lauraland,60007,712,34791,17,60.0,True,Approved
Sherry Gibson,Murphytown,38834,395,48902,29,25.0,False,Rejected
Melissa Horn,Robinsonchester,148675,516,33421,17,55.0,False,Rejected
Drew Kelley,New Melissa,34117,651,45731,3,30.0,False,Rejected
Mark Copeland,North Sarahburgh,142674,751,30918,0,75.0,True,Approved
Jessica Forbes DVM,Erikview,73309,395,43899,23,35.0,False,Rejected
Jacob Mckee,North Randy,39287,612,48578,14,40.0,False,Rejected
Brandon Davis,South Christian,97391,531,35042,28,45.0,False,Rejected
Michael Montoya,Bensonfort,61195,372,16004,24,40.0,False,Rejected
Robert Garcia,Nicoleberg,66500,691,9725,9,65.0,True,Approved
Justin Bishop,South Michael,117684,518,42161,9,45.0,False,Rejected
Lisa Ramos,North Peggy,93624,443,9071,37,55.0,False,Rejected
Heather Jordan,East Joshua,58080,386,17263,35,40.0,False,Rejected
Michelle Mitchell,Port Melanieport,100678,510,34931,38,50.0,False,Rejected
Nicole Phillips,Port Rachaelbury,47342,806,26289,7,60.0,True,Approved
Alexandria Ward,Davidshire,124811,730,24947,34,80.0,True,Approved
Pamela Best,North Brendatown,145655,568,15138,2,45.0,False,Rejected
Tiffany Sanders,Courtneyhaven,104847,725,28759,25,75.0,True,Approved
Joshua Jensen,Christopherland,105525,823,14316,9,90.0,True,Approved
Jeanette Walters,West Hollybury,91953,359,17022,5,45.0,False,Rejected
Audrey Salazar,West Elizabethburgh,61850,422,1830,8,45.0,False,Rejected
Carla Benton,Garyberg,132841,575,49033,7,45.0,False,Rejected
Alyssa Roman,Alexandriaview,91993,378,33515,29,45.0,False,Rejected
Amy Villarreal,West Eric,135840,405,38611,7,45.0,False,Rejected
Jordan Williams,East Brandonstad,83354,692,10835,11,75.0,True,Approved
Shannon Tran,Walkerbury,54957,726,48204,20,60.0,True,Approved
Blake Watson,East Jeffreyhaven,42363,347,27275,4,15.0,False,Rejected
Sharon Ayala,Markside,42704,767,1522,23,75.0,True,Approved
Justin Torres,South Micheal,116374,805,13807,34,95.0,True,Approved
Danielle Smith,Johnsonside,86498,654,42677,0,40.0,False,Rejected
April Sandoval,Daltonhaven,76438,543,28513,31,45.0,False,Rejected
Valerie Thomas,Christopherbury,85519,832,28070,23,85.0,True,Approved
Paul Carpenter,Lake Lori,83883,376,39790,36,40.0,False,Rejected
Matthew Anderson,Josemouth,91213,702,46922,20,65.0,True,Approved
Dillon Jones,East Kimberly,143224,411,11184,6,55.0,False,Rejected
John Russell,Tamiborough,125561,762,21205,29,90.0,True,Approved
Bryan Moore,Margaretton,37100,520,22482,9,20.0,False,Rejected
David Kelly,Lake Kentburgh,118259,331,27502,28,55.0,False,Rejected
Krista Davis,Port Lauraville,115649,312,5041,14,60.0,True,Approved
Rodney Watson,New Brendaland,114696,322,5225,12,60.0,True,Approved
Jill Anderson,Davidmouth,42899,351,12009,36,30.0,False,Rejected
Nathaniel Crawford,Vegaburgh,37944,662,15071,11,45.0,False,Rejected
Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,65.0,True,Approved
Douglas Taylor,Lake Nicole,125448,838,17328,40,95.0,True,Approved
Kimberly Smith MD,Timothyfort,74473,652,38070,32,50.0,False,Rejected
Devin Johnson,North Paula,134935,587,4839,30,75.0,True,Approved
Pamela Key,North John,142941,546,18467,34,55.0,False,Rejected
Sylvia Brown,New Meghan,44322,697,24252,11,50.0,False,Rejected
Kevin Drake,Robintown,62591,660,38201,36,50.0,False,Rejected
Travis Copeland,Weaverburgh,55112,802,3487,5,85.0,True,Approved
Kyle Smith,Smithborough,54931,433,23331,11,35.0,False,Rejected
Sarah Morris,East Brendaberg,100292,413,35491,23,50.0,False,Rejected
Jacqueline Mcmahon,Willismouth,88800,609,22142,8,60.0,True,Approved
Morgan Kim,Banksburgh,48373,665,15630,37,45.0,False,Rejected
Jamie Gross,Davidtown,85296,700,38190,2,55.0,False,Rejected
Evan Lamb,Lake Ariana,54050,808,10217,21,85.0,True,Approved
Cynthia Haas,Lake Nicole,66509,390,47462,40,35.0,False,Rejected
Gabriela Smith,East Heather,90637,658,17820,6,60.0,True,Approved
Amber Kim,Costachester,62742,804,25819,22,75.0,True,Approved
Ashley Mendoza,East Shannon,144620,334,20327,1,40.0,False,Rejected
Trevor Jones,South Eugene,39880,376,36851,5,20.0,False,Rejected
William Barry,South Sherriburgh,88082,744,11295,3,75.0,True,Approved
Daniel Lee,Donnaport,135909,543,7285,3,50.0,False,Rejected
Joshua Henry,West Adamland,142898,601,44386,40,65.0,True,Approved
Christina Johnson,Lake Kelly,142193,383,32035,7,50.0,False,Rejected
James Burns,Christopherside,102132,696,13116,23,80.0,True,Approved
Jaclyn Griffin,Scottview,42833,531,18600,36,25.0,False,Rejected
Paul Contreras,Lake Mauriceside,36630,723,39648,14,50.0,False,Rejected
Sara Cardenas,Sheppardfort,115477,541,32212,19,50.0,False,Rejected
Steven Klein,North Stacy,100855,759,12329,10,90.0,True,Approved
Rhonda Martinez,Millerchester,139579,506,42105,9,45.0,False,Rejected
Deanna Bartlett,North Paulfurt,31934,633,19101,33,40.0,False,Rejected
Shane Buchanan,Rodriguezberg,42224,451,38132,37,25.0,False,Rejected
Traci Garcia,New Kimberlyport,128771,848,23535,26,95.0,True,Approved
Matthew Armstrong,Johnsonview,141240,712,10427,39,85.0,True,Approved
Melissa Williams,Hannahton,60982,786,18601,23,75.0,True,Approved
Robert Turner,Meganville,51798,533,9807,19,45.0,False,Rejected
Jessica Petersen,Jessicaland,83269,492,29948,13,45.0,False,Rejected
Jennifer Washington,Lorihaven,93653,462,5300,19,55.0,False,Rejected
Jennifer Deleon,East Jamesborough,93092,359,17350,2,40.0,False,Rejected
Thomas Bush,Michealmouth,58016,817,27014,40,75.0,True,Approved
Melanie Allen,Wheelerburgh,143331,785,39461,35,85.0,True,Approved
Christopher Kline,West Anthonyton,82565,466,38503,13,40.0,False,Rejected
Maria Byrd,Denisehaven,148284,320,45708,0,35.0,False,Rejected
Carlos Thompson,East Johnnyport,37685,581,28774,24,40.0,False,Rejected
Judy Robinson,Ericafurt,51579,404,1481,32,50.0,False,Rejected
Dr. Sara Hoffman DDS,Kennethville,79672,793,5183,21,90.0,True,Approved
Margaret Hensley MD,Jacobhaven,30282,546,4720,38,35.0,False,Rejected
Francisco Taylor,Lake Tylerport,81173,565,28431,25,45.0,False,Rejected
